****************  EJERCICIO 1 *****************

category,title,length
Action,"DARN FORRESTER",185
Action,"WORST BANGER",185
Animation,"GANGS PRIDE",185
Animation,"POND SEATTLE",185
Children,"FURY MURDER",178
Children,"WRONG BEHAVIOR",178
Classics,"CONSPIRACY SPIRIT",184
Comedy,"CONTROL ANTHEM",185
Documentary,"WIFE TURN",183
Documentary,"YOUNG LANGUAGE",183
Drama,"JACKET FRISCO",181
Family,"KING EVOLUTION",184
Foreign,"CRYSTAL BREAKING",184
Foreign,"SORORITY QUEEN",184
Games,"CHICAGO NORTH",185
Horror,"ANALYZE HOOSIERS",181
Horror,"LOVE SUICIDES",181
Music,"HOME PITY",185
New,"FRONTIER CABIN",183
Sci-Fi,"SOLDIERS EVOLUTION",185
Sports,"SMOOCHY CONTROL",184
Travel,"MUSCLE BRIGHT",185
Travel,"SWEET BROTHERHOOD",185


****************  EJERCICIO 2 *****************


num_unavailable_films
42

****************  EJERCICIO 3 *****************

(VACIO)



****************  EJERCICIO 4 *****************



(VACIO)



****************  EJERCICIO 5 *****************

country,top_customer,max_spent
Afghanistan,"VERA MCCOY",67.82
Algeria,"JUNE CARROLL",173.63
"American Samoa","ANTHONY SCHWAB",71.80
Angola,"CLAUDE HERZOG",111.75
Anguilla,"BOBBY BOUDREAU",106.65
Argentina,"JULIA FLORES",134.68
Armenia,"STEPHANIE MITCHELL",118.75
Austria,"AUDREY RAY",119.71
Azerbaijan,"RAYMOND MCWHORTER",135.70
Bahrain,"SETH HANNON",112.75
Bangladesh,"MICHELLE CLARK",155.65
Belarus,"CLARA SHAW",195.58
Bolivia,"JOEL FRANCISCO",95.77
Brazil,"MARION SNYDER",194.61
Brunei,"LOIS BUTLER",113.65
Bulgaria,"TYRONE ASHER",112.76
Cambodia,"ELMER NOE",98.74
Cameroon,"LAWRENCE LAWTON",100.69
Canada,"CURTIS IRBY",167.62
Chad,"JAVIER ELROD",135.68
Chile,"JANET PHILLIPS",127.73
China,"GUY BROWNLEE",159.68
Colombia,"WANDA PATTERSON",145.70
"Congo, The Democratic Republic of the","AARON SELBY",110.76
"Czech Republic","JENNIE TERRY",133.71
"Dominican Republic","MYRTLE FLEMING",110.76
Ecuador,"RAMON CHOATE",140.69
Egypt,"SHERRY MARSHALL",153.66
Estonia,"MARCUS HIDALGO",115.70
Ethiopia,"SEAN DOUGLASS",91.77
"Faroe Islands","EDWARD BAUGH",114.72
Finland,"ERIKA PENA",101.74
France,"VIRGINIA GREEN",129.68
"French Guiana","ROSE HOWARD",103.78
"French Polynesia","GLORIA COOK",135.70
Gambia,"SALVADOR TEEL",129.70
Germany,"ALMA AUSTIN",151.65
Greece,"LINDA WILLIAMS",135.74
Greenland,"GERTRUDE CASTILLO",137.66
"Holy See (Vatican City State)","JESSICA HALL",152.66
"Hong Kong","VIOLET RODRIQUEZ",142.70
Hungary,"TERRANCE ROUSH",111.71
India,"TIM CARY",175.61
Indonesia,"STEVE MACKENZIE",158.66
Iran,"TOMMY COLLAZO",186.62
Iraq,"DARYL LARUE",111.73
Israel,"CRYSTAL FORD",137.67
Italy,"ALEXANDER FENNELL",151.64
Japan,"JERRY JORDON",143.71
Kazakstan,"BYRON BOX",120.71
Kenya,"ROY WHITING",143.71
Kuwait,"CLAUDIA FULLER",111.74
Latvia,"RYAN SALISBURY",142.70
Liechtenstein,"EVELYN MORGAN",114.72
Lithuania,"FELIX GAFFNEY",73.76
Madagascar,"ANDREA HENDERSON",93.78
Malawi,"LYNN PAYNE",123.72
Malaysia,"CHARLES KOWALSKI",138.68
Mexico,"PRISCILLA LOWE",157.65
Moldova,"MARTHA GONZALEZ",127.66
Morocco,"LAURA RODRIGUEZ",113.78
Mozambique,"MARSHA DOUGLAS",151.63
Myanmar,"MABEL HOLLAND",112.70
Nauru,"DUANE TUBBS",148.69
Nepal,"KEVIN SCHULER",116.78
Netherlands,"RHONDA KENNEDY",194.61
"New Zealand","SUSAN WILSON",92.76
Nigeria,"GLADYS HAMILTON",146.69
"North Korea","DARLENE ROSE",113.69
Oman,"GENE SANBORN",97.73
Pakistan,"JEFFERY PINSON",121.69
Paraguay,"CARL ARTIS",106.77
Peru,"JAIME NETTLES",126.71
Philippines,"MARCIA DEAN",175.58
Poland,"RUSSELL BRINSON",136.64
"Puerto Rico","RALPH MADRIGAL",150.66
Réunion,"ELEANOR HUNT",216.54
Romania,"JOY GEORGE",124.67
"Russian Federation","DAISY BATES",162.62
"Saint Vincent and the Grenadines","JOSE ANDREW",96.75
"Saudi Arabia","JOYCE EDWARDS",130.72
Senegal,"RONNIE RICKETTS",100.75
Slovakia,"KEITH RICO",89.74
"South Africa","ETHEL WEBB",135.68
"South Korea","TANYA GILBERT",144.67
Spain,"WESLEY BULL",177.60
"Sri Lanka","MANUEL MURRELL",116.70
Sudan,"DIANE COLLINS",169.65
Sweden,"JANICE WARD",144.66
Switzerland,"GAIL KNIGHT",109.75
Taiwan,"TAMMY SANDERS",155.59
Tanzania,"HERMAN DEVORE",115.71
Thailand,"SHAWN HEATON",152.67
Tonga,"HENRY BILLINGSLEY",73.82
Tunisia,"GREGORY MAULDIN",78.77
Turkey,"BRANDON HUEY",152.63
Turkmenistan,"JEANNE LAWSON",136.73
Tuvalu,"DAWN SULLIVAN",120.74
Ukraine,"BRITTANY RILEY",159.72
"United Arab Emirates","MISTY LAMBERT",118.73
"United Kingdom","GILBERT SLEDGE",129.72
"United States","KARL SEAL",221.55
Venezuela,"CINDY FISHER",113.71
Vietnam,"NEIL RENNER",152.68
"Virgin Islands, U.S.","NATHAN RUNYON",122.68
Yemen,"GORDON ALLARD",160.68
Yugoslavia,"MARIA MILLER",151.67
Zambia,"BARRY LOVELACE",134.67





****************  EJERCICIO 6 *****************


category,total_revenue
Sports,5314.21
Sci-Fi,4756.98
Animation,4656.30
Drama,4587.39
Comedy,4383.58
Action,4375.85
New,4351.62
Games,4281.33
Foreign,4270.67
Family,4226.07
Documentary,4217.52
